Pw_cl_graph_360000_8_0: nnz= 5759786, density= 4.4442793209876545e-05
Pw_cl_graph_360000_8_1: nnz= 5759796, density= 4.444287037037037e-05
Pw_cl_graph_360000_8_2: nnz= 5759766, density= 4.444263888888889e-05
Pw_cl_graph_360000_8_3: nnz= 5759762, density= 4.444260802469136e-05
Pw_cl_graph_360000_8_4: nnz= 5759770, density= 4.444266975308642e-05
Pw_cl_graph_360000_8_5: nnz= 5759772, density= 4.4442685185185186e-05
Pw_cl_graph_360000_8_6: nnz= 5759786, density= 4.4442793209876545e-05
Pw_cl_graph_360000_8_7: nnz= 5759786, density= 4.4442793209876545e-05
Pw_cl_graph_360000_8_8: nnz= 5759764, density= 4.444262345679013e-05
Pw_cl_graph_360000_8_9: nnz= 5759802, density= 4.4442916666666664e-05
Pw_cl_graph_360000_10_0: nnz= 7199668, density= 5.555299382716049e-05
Pw_cl_graph_360000_10_1: nnz= 7199664, density= 5.555296296296296e-05
Pw_cl_graph_360000_10_2: nnz= 7199634, density= 5.555273148148148e-05
Pw_cl_graph_360000_10_3: nnz= 7199590, density= 5.555239197530864e-05
Pw_cl_graph_360000_10_4: nnz= 7199656, density= 5.55529012345679e-05
Pw_cl_graph_360000_10_5: nnz= 7199678, density= 5.555307098765432e-05
Pw_cl_graph_360000_10_6: nnz= 7199646, density= 5.5552824074074075e-05
Pw_cl_graph_360000_10_7: nnz= 7199622, density= 5.555263888888889e-05
